semester_ID,semester_number,year,course_ID
SEM0134,1,2021,SE001
SEM0135,3,2022,CS001
SEM0136,2,2021,SE001
SEM0137,3,2024,CS001
SEM0138,1,2021,CS001
SEM0139,3,2021,SE001
SEM0140,2,2021,IT001
SEM0141,2,2024,IT001
SEM0142,2,2024,CS001
SEM0143,1,2021,CS001
SEM0144,3,2023,CS001
SEM0145,3,2022,SE001
SEM0146,1,2022,CS001
SEM0147,3,2023,CS001
SEM0148,1,2021,IT001
SEM0149,3,2024,CS001
SEM0150,2,2024,SE001
SEM0151,2,2022,SE001
SEM0152,3,2024,IT001
SEM0153,1,2023,CS001
SEM0154,2,2023,SE001
SEM0155,3,2021,IT001
SEM0156,2,2021,SE001
SEM0157,3,2023,SE001
SEM0158,2,2024,IT001
SEM0159,2,2021,SE001
SEM0160,1,2022,SE001
SEM0161,2,2021,IT001
SEM0162,3,2021,SE001
SEM0163,2,2023,IT001
SEM0164,1,2024,SE001
SEM0165,2,2021,SE001
SEM0166,2,2023,CS001
SEM0167,2,2024,CS001
SEM0168,2,2022,CS001
SEM0169,3,2021,SE001
SEM0170,2,2023,CS001
SEM0171,2,2023,SE001
SEM0172,1,2023,CS001
SEM0173,3,2024,SE001
SEM0174,3,2022,SE001
SEM0175,3,2021,SE001
SEM0176,3,2023,CS001
SEM0177,2,2022,IT001
SEM0178,3,2021,CS001
SEM0179,1,2022,SE001
SEM0180,2,2024,CS001
SEM0181,1,2021,IT001
SEM0182,3,2021,SE001
SEM0183,1,2021,CS001
SEM0184,2,2023,CS001
SEM0185,3,2024,SE001
SEM0186,2,2024,SE001
SEM0187,1,2023,CS001
SEM0188,1,2022,SE001
SEM0189,3,2022,CS001
SEM0190,3,2023,SE001
SEM0191,1,2022,CS001
SEM0192,3,2021,SE001
SEM0193,3,2023,SE001
SEM0194,1,2023,CS001
SEM0195,2,2024,SE001
SEM0196,3,2021,SE001
SEM0197,3,2023,IT001
SEM0198,3,2021,CS001
SEM0199,2,2023,IT001
SEM0200,2,2022,IT001
SEM0201,1,2024,CS001
SEM0202,2,2021,IT001
SEM0203,1,2023,SE001
SEM0204,3,2023,IT001
SEM0205,3,2021,SE001
SEM0206,3,2021,CS001
SEM0207,2,2022,SE001
SEM0208,2,2023,SE001
SEM0209,2,2024,IT001
SEM0210,3,2024,SE001
SEM0211,3,2021,SE001
SEM0212,2,2022,CS001
SEM0213,1,2023,SE001
SEM0214,3,2023,SE001
SEM0215,1,2021,IT001
SEM0216,2,2022,SE001
SEM0217,1,2023,CS001
SEM0218,2,2022,CS001
SEM0219,2,2022,SE001
SEM0220,3,2023,IT001
SEM0221,3,2021,SE001
SEM0222,2,2022,IT001
SEM0223,3,2022,IT001
SEM0224,3,2023,SE001
SEM0225,1,2022,SE001
SEM0226,1,2022,IT001
SEM0227,1,2021,SE001
SEM0228,1,2022,SE001
SEM0229,3,2024,IT001
SEM0230,3,2021,SE001
SEM0231,2,2022,CS001
SEM0232,3,2024,CS001
SEM0233,3,2023,CS001
SEM0234,2,2024,CS001
SEM0235,3,2024,SE001
SEM0236,2,2024,SE001
SEM0237,3,2021,CS001
SEM0238,2,2023,SE001
SEM0239,1,2021,SE001
SEM0240,1,2022,SE001
SEM0241,3,2024,CS001
SEM0242,1,2024,CS001
SEM0243,3,2024,CS001
SEM0244,1,2024,IT001
SEM0245,1,2021,SE001
SEM0246,3,2021,SE001
SEM0247,3,2022,CS001
SEM0248,1,2024,IT001
SEM0249,2,2024,IT001
SEM0250,2,2024,SE001
SEM0251,3,2021,IT001
SEM0252,2,2023,SE001
SEM0253,1,2021,SE001
SEM0254,1,2022,CS001
SEM0255,2,2021,SE001
SEM0256,2,2024,SE001
SEM0257,1,2023,SE001
SEM0258,3,2023,IT001
SEM0259,3,2023,IT001
SEM0260,1,2024,IT001
SEM0261,1,2024,CS001
SEM0262,1,2022,SE001
SEM0263,3,2024,CS001
SEM0264,1,2022,SE001
SEM0265,2,2022,SE001
SEM0266,3,2023,CS001
SEM0267,3,2023,SE001
SEM0268,1,2022,CS001
SEM0269,3,2023,CS001
SEM0270,1,2023,CS001
SEM0271,2,2022,IT001
SEM0272,1,2022,IT001
SEM0273,1,2023,SE001
SEM0274,3,2022,IT001
SEM0275,2,2021,CS001
SEM0276,2,2022,IT001
SEM0277,2,2022,IT001
SEM0278,1,2022,SE001
SEM0279,1,2023,SE001
SEM0280,2,2024,SE001
SEM0281,3,2024,CS001
SEM0282,3,2021,CS001
SEM0283,2,2021,CS001
SEM0284,2,2024,CS001
SEM0285,2,2023,CS001
SEM0286,2,2022,SE001
SEM0287,1,2022,SE001
SEM0288,1,2023,SE001
SEM0289,2,2023,IT001
SEM0290,2,2023,CS001
SEM0291,3,2024,SE001
SEM0292,2,2024,SE001
SEM0293,2,2022,SE001
SEM0294,3,2021,IT001
SEM0295,3,2022,SE001
SEM0296,1,2023,CS001
SEM0297,3,2022,SE001
SEM0298,1,2024,SE001
SEM0299,2,2024,CS001
SEM0300,3,2023,IT001
SEM0301,3,2024,IT001
SEM0302,3,2022,SE001
SEM0303,3,2024,SE001
SEM0304,1,2021,SE001
SEM0305,1,2024,IT001
SEM0306,1,2022,IT001
SEM0307,2,2023,SE001
SEM0308,1,2023,SE001
SEM0309,2,2021,SE001
SEM0310,2,2021,SE001
SEM0311,3,2022,CS001
SEM0312,3,2021,CS001
SEM0313,2,2022,CS001
SEM0314,1,2022,SE001
SEM0315,1,2021,SE001
SEM0316,3,2021,SE001
SEM0317,3,2023,IT001
SEM0318,1,2021,IT001
SEM0319,3,2023,IT001
SEM0320,3,2022,SE001
SEM0321,2,2022,SE001
SEM0322,2,2022,SE001
SEM0323,2,2021,IT001
SEM0324,2,2021,CS001
SEM0325,1,2022,SE001
SEM0326,2,2021,CS001
SEM0327,3,2024,SE001
SEM0328,3,2023,IT001
SEM0329,1,2023,IT001
SEM0330,2,2021,CS001
SEM0331,3,2024,SE001
SEM0332,1,2021,CS001
SEM0333,2,2023,IT001
SEM0334,3,2023,IT001
SEM0335,2,2023,IT001
SEM0336,3,2021,CS001
SEM0337,1,2022,SE001
SEM0338,3,2021,IT001
SEM0339,2,2023,IT001
SEM0340,1,2024,CS001
SEM0341,1,2024,CS001
SEM0342,2,2021,SE001
SEM0343,2,2024,IT001
SEM0344,2,2024,CS001
SEM0345,2,2024,IT001
SEM0346,1,2023,CS001
SEM0347,2,2024,CS001
SEM0348,1,2021,IT001
SEM0349,2,2022,CS001
SEM0350,3,2024,IT001
SEM0351,2,2022,CS001
SEM0352,3,2021,CS001
SEM0353,1,2021,IT001
SEM0354,3,2021,CS001
SEM0355,1,2024,SE001
SEM0356,2,2023,CS001
SEM0357,1,2022,SE001
SEM0358,2,2023,CS001
SEM0359,2,2021,SE001
SEM0360,1,2021,CS001
SEM0361,3,2021,CS001
SEM0362,3,2022,CS001
SEM0363,2,2022,CS001
SEM0364,3,2024,IT001
SEM0365,1,2022,SE001
SEM0366,2,2023,SE001
SEM0367,2,2024,IT001
SEM0368,2,2024,IT001
SEM0369,3,2024,IT001
SEM0370,2,2021,SE001
SEM0371,3,2024,IT001
SEM0372,1,2021,SE001
SEM0373,2,2021,CS001
SEM0374,1,2024,IT001
SEM0375,2,2022,IT001
SEM0376,1,2021,SE001
SEM0377,3,2024,CS001
SEM0378,3,2024,SE001
SEM0379,1,2023,SE001
SEM0380,1,2023,SE001
SEM0381,3,2021,IT001
SEM0382,2,2023,IT001
SEM0383,3,2023,CS001
SEM0384,1,2023,CS001
SEM0385,3,2024,IT001
SEM0386,2,2021,CS001
SEM0387,3,2024,SE001
SEM0388,2,2023,CS001
SEM0389,3,2022,IT001
SEM0390,2,2022,CS001
SEM0391,3,2022,SE001
SEM0392,2,2024,SE001
SEM0393,1,2023,CS001
SEM0394,1,2022,SE001
SEM0395,1,2021,IT001
SEM0396,1,2023,CS001
SEM0397,3,2022,IT001
SEM0398,1,2021,CS001
SEM0399,3,2024,IT001
SEM0400,3,2023,SE001
SEM0401,2,2023,SE001
SEM0402,1,2022,IT001
SEM0403,1,2022,CS001
SEM0404,2,2024,SE001
SEM0405,2,2024,CS001
SEM0406,1,2024,IT001
SEM0407,1,2021,SE001
SEM0408,1,2024,IT001
SEM0409,1,2022,IT001
SEM0410,1,2023,SE001
SEM0411,2,2021,IT001
SEM0412,3,2022,CS001
SEM0413,1,2021,IT001
SEM0414,2,2023,IT001
SEM0415,1,2024,CS001
SEM0416,3,2024,CS001
SEM0417,3,2022,SE001
SEM0418,3,2023,CS001
SEM0419,1,2021,SE001
SEM0420,3,2024,CS001
SEM0421,1,2021,SE001
SEM0422,1,2021,CS001
SEM0423,2,2022,IT001
SEM0424,2,2021,SE001
SEM0425,2,2021,IT001
SEM0426,2,2023,IT001
SEM0427,2,2021,CS001
SEM0428,1,2024,CS001
SEM0429,2,2023,IT001
SEM0430,1,2021,CS001
SEM0431,3,2024,SE001
SEM0432,2,2021,IT001
SEM0433,1,2022,IT001
SEM0434,3,2022,SE001
SEM0435,3,2023,SE001
SEM0436,3,2023,SE001
SEM0437,3,2022,CS001
SEM0438,3,2021,SE001
SEM0439,1,2021,SE001
SEM0440,2,2024,IT001
SEM0441,3,2021,IT001
SEM0442,2,2024,IT001
SEM0443,3,2023,CS001
SEM0444,3,2024,CS001
SEM0445,2,2023,IT001
SEM0446,1,2021,CS001
SEM0447,1,2024,CS001
SEM0448,2,2023,CS001
SEM0449,1,2023,SE001
SEM0450,2,2022,IT001
SEM0451,3,2022,CS001
SEM0452,3,2023,CS001
SEM0453,2,2023,CS001
SEM0454,1,2024,CS001
SEM0455,3,2024,IT001
SEM0456,1,2021,CS001
SEM0457,3,2024,CS001
SEM0458,2,2021,SE001
SEM0459,1,2021,IT001
SEM0460,3,2021,CS001
SEM0461,3,2022,CS001
SEM0462,3,2024,IT001
SEM0463,3,2021,CS001
SEM0464,3,2021,IT001
SEM0465,1,2022,CS001
SEM0466,2,2021,SE001
SEM0467,3,2024,SE001
SEM0468,1,2023,SE001
SEM0469,2,2024,CS001
SEM0470,1,2024,SE001
SEM0471,2,2024,IT001
SEM0472,1,2022,IT001
SEM0473,1,2022,IT001
SEM0474,2,2024,SE001
SEM0475,3,2023,CS001
SEM0476,3,2021,CS001
SEM0477,3,2023,CS001
SEM0478,1,2021,CS001
SEM0479,1,2024,IT001
SEM0480,3,2023,CS001
SEM0481,1,2023,IT001
SEM0482,3,2022,CS001
SEM0483,1,2022,CS001
SEM0484,1,2023,SE001
SEM0485,2,2021,IT001
SEM0486,3,2024,SE001
SEM0487,2,2024,CS001
SEM0488,3,2022,CS001
SEM0489,1,2024,SE001
SEM0490,2,2023,SE001
SEM0491,1,2022,CS001
SEM0492,1,2023,CS001
SEM0493,3,2024,IT001
SEM0494,1,2023,CS001
SEM0495,1,2022,CS001
SEM0496,2,2022,CS001
SEM0497,2,2021,IT001
SEM0498,3,2021,SE001
SEM0499,2,2024,CS001
SEM0500,3,2021,IT001
SEM0501,1,2023,SE001
SEM0502,1,2021,SE001
SEM0503,2,2024,CS001
SEM0504,2,2022,CS001
SEM0505,1,2024,SE001
SEM0506,2,2021,IT001
SEM0507,3,2023,IT001
SEM0508,1,2024,SE001
SEM0509,2,2022,IT001
SEM0510,3,2024,IT001
SEM0511,1,2024,IT001
SEM0512,1,2022,SE001
SEM0513,2,2023,CS001
SEM0514,3,2024,IT001
SEM0515,3,2021,CS001
SEM0516,2,2023,SE001
SEM0517,1,2021,SE001
SEM0518,1,2021,SE001
SEM0519,1,2023,IT001
SEM0520,2,2021,IT001
SEM0521,3,2021,IT001
SEM0522,1,2023,SE001
SEM0523,3,2023,CS001
SEM0524,3,2021,SE001
SEM0525,1,2022,SE001
SEM0526,1,2021,IT001
SEM0527,2,2022,SE001
SEM0528,3,2022,CS001
SEM0529,2,2024,IT001
SEM0530,1,2024,CS001
SEM0531,1,2021,IT001
SEM0532,2,2023,CS001
SEM0533,1,2022,SE001
SEM0534,2,2024,IT001
SEM0535,3,2022,CS001
SEM0536,2,2021,IT001
SEM0537,1,2021,IT001
SEM0538,1,2023,SE001
SEM0539,1,2022,CS001
SEM0540,1,2022,IT001
SEM0541,3,2021,IT001
SEM0542,1,2024,CS001
SEM0543,2,2023,CS001
SEM0544,1,2022,SE001
SEM0545,1,2023,CS001
SEM0546,1,2021,CS001
SEM0547,1,2021,IT001
SEM0548,1,2022,SE001
SEM0549,3,2023,CS001
SEM0550,3,2021,SE001
SEM0551,3,2021,CS001
SEM0552,3,2024,IT001
SEM0553,3,2022,SE001
SEM0554,1,2024,SE001
SEM0555,1,2021,CS001
SEM0556,2,2023,CS001
SEM0557,1,2021,CS001
SEM0558,3,2024,IT001
SEM0559,1,2023,CS001
SEM0560,1,2023,IT001
SEM0561,1,2023,SE001
SEM0562,2,2022,CS001
SEM0563,1,2022,IT001
SEM0564,1,2023,SE001
SEM0565,3,2021,CS001
SEM0566,2,2021,SE001
SEM0567,2,2023,CS001
SEM0568,1,2023,SE001
SEM0569,1,2021,SE001
SEM0570,1,2024,CS001
SEM0571,1,2024,SE001
SEM0572,3,2022,SE001
SEM0573,1,2022,SE001
SEM0574,2,2024,SE001
SEM0575,3,2024,SE001
SEM0576,3,2021,CS001
SEM0577,2,2024,SE001
SEM0578,3,2024,CS001
SEM0579,1,2022,SE001
SEM0580,2,2024,CS001
SEM0581,3,2021,IT001
SEM0582,3,2024,SE001
SEM0583,2,2023,IT001
SEM0584,3,2024,SE001
SEM0585,1,2021,CS001
SEM0586,1,2024,CS001
SEM0587,2,2021,SE001
SEM0588,1,2021,IT001
SEM0589,1,2023,SE001
SEM0590,1,2022,IT001
SEM0591,3,2024,SE001
SEM0592,3,2022,SE001
SEM0593,2,2024,SE001
SEM0594,3,2022,CS001
SEM0595,2,2023,IT001
SEM0596,1,2023,CS001
SEM0597,1,2023,SE001
SEM0598,3,2023,SE001
SEM0599,2,2021,CS001
SEM0600,3,2022,IT001
SEM0601,2,2023,CS001
SEM0602,2,2023,SE001
SEM0603,1,2022,SE001
SEM0604,1,2021,SE001
SEM0605,2,2024,IT001
SEM0606,2,2023,SE001
SEM0607,1,2022,SE001
SEM0608,1,2022,CS001
SEM0609,1,2021,SE001
SEM0610,3,2023,IT001
SEM0611,1,2024,IT001
SEM0612,1,2021,CS001
SEM0613,3,2022,CS001
SEM0614,3,2021,SE001
SEM0615,2,2022,SE001
SEM0616,3,2024,CS001
SEM0617,1,2023,IT001
SEM0618,3,2024,CS001
SEM0619,3,2022,CS001
SEM0620,3,2023,CS001
SEM0621,1,2024,IT001
SEM0622,1,2022,CS001
SEM0623,1,2021,SE001
SEM0624,3,2022,SE001
SEM0625,2,2023,SE001
SEM0626,3,2021,IT001
SEM0627,1,2021,SE001
SEM0628,3,2021,SE001
SEM0629,2,2021,SE001
SEM0630,3,2022,CS001
SEM0631,3,2021,CS001
SEM0632,3,2022,SE001
SEM0633,1,2023,IT001
SEM0634,1,2024,CS001
SEM0635,2,2023,SE001
SEM0636,1,2021,CS001
SEM0637,1,2021,IT001
SEM0638,1,2021,SE001
SEM0639,3,2024,SE001
SEM0640,2,2021,IT001
SEM0641,2,2022,IT001
SEM0642,1,2023,SE001
SEM0643,2,2022,CS001
SEM0644,3,2022,IT001
SEM0645,3,2024,CS001
SEM0646,1,2024,SE001
SEM0647,3,2023,IT001
SEM0648,1,2023,CS001
SEM0649,2,2024,SE001
SEM0650,2,2023,SE001
SEM0651,3,2021,CS001
SEM0652,1,2023,IT001
SEM0653,3,2022,CS001
SEM0654,2,2024,CS001
SEM0655,1,2022,IT001
SEM0656,2,2021,SE001
SEM0657,2,2024,IT001
SEM0658,1,2021,IT001
SEM0659,1,2024,SE001
SEM0660,2,2023,IT001
SEM0661,3,2023,IT001
SEM0662,3,2022,CS001
SEM0663,3,2022,IT001
SEM0664,1,2024,CS001
SEM0665,2,2021,CS001
SEM0666,2,2023,SE001
SEM0667,2,2021,SE001
SEM0668,2,2023,IT001
SEM0669,3,2024,IT001
SEM0670,3,2024,IT001
SEM0671,3,2023,IT001
SEM0672,2,2023,CS001
SEM0673,1,2023,IT001
SEM0674,1,2021,SE001
SEM0675,1,2023,CS001
SEM0676,2,2021,SE001
SEM0677,2,2024,SE001
SEM0678,2,2024,IT001
SEM0679,1,2021,IT001
SEM0680,2,2024,IT001
SEM0681,1,2022,IT001
SEM0682,2,2024,IT001
SEM0683,2,2023,CS001
SEM0684,2,2024,IT001
SEM0685,1,2023,IT001
SEM0686,3,2022,SE001
SEM0687,2,2022,IT001
SEM0688,2,2021,IT001
SEM0689,3,2023,CS001
SEM0690,3,2021,IT001
SEM0691,1,2023,SE001
SEM0692,3,2022,IT001
SEM0693,1,2023,IT001
SEM0694,2,2024,SE001
SEM0695,1,2024,IT001
SEM0696,2,2022,SE001
SEM0697,2,2021,SE001
SEM0698,1,2024,CS001
SEM0699,3,2024,SE001
SEM0700,2,2023,IT001
SEM0701,3,2024,SE001
SEM0702,3,2024,SE001
SEM0703,3,2021,SE001
SEM0704,3,2021,CS001
SEM0705,2,2023,IT001
SEM0706,3,2023,IT001
SEM0707,2,2024,IT001
SEM0708,1,2024,CS001
SEM0709,3,2021,SE001
SEM0710,1,2023,IT001
SEM0711,1,2024,SE001
SEM0712,3,2022,SE001
SEM0713,3,2023,IT001
SEM0714,1,2021,CS001
SEM0715,2,2021,CS001
SEM0716,3,2022,CS001
SEM0717,3,2021,IT001
SEM0718,3,2023,SE001
SEM0719,2,2023,IT001
SEM0720,1,2021,IT001
SEM0721,2,2023,SE001
SEM0722,1,2021,SE001
SEM0723,1,2024,SE001
SEM0724,2,2021,SE001
SEM0725,1,2022,IT001
SEM0726,1,2022,SE001
SEM0727,2,2021,CS001
SEM0728,3,2022,SE001
SEM0729,1,2021,SE001
SEM0730,3,2024,CS001
SEM0731,3,2024,CS001
SEM0732,3,2023,IT001
SEM0733,3,2024,CS001
SEM0734,1,2022,SE001
SEM0735,3,2021,IT001
SEM0736,1,2023,SE001
SEM0737,3,2021,SE001
SEM0738,3,2021,CS001
SEM0739,3,2021,CS001
SEM0740,1,2022,CS001
SEM0741,2,2022,IT001
SEM0742,3,2023,IT001
SEM0743,3,2021,CS001
SEM0744,3,2021,IT001
SEM0745,3,2021,IT001
SEM0746,3,2021,IT001
SEM0747,1,2023,CS001
SEM0748,2,2024,SE001
SEM0749,2,2022,IT001
SEM0750,2,2023,CS001
SEM0751,2,2023,SE001
SEM0752,2,2021,SE001
SEM0753,2,2023,IT001
SEM0754,2,2021,IT001
SEM0755,2,2022,IT001
SEM0756,3,2023,SE001
SEM0757,1,2022,IT001
SEM0758,3,2024,IT001
SEM0759,3,2024,IT001
SEM0760,2,2023,CS001
SEM0761,3,2024,IT001
SEM0762,1,2023,CS001
SEM0763,1,2022,CS001
SEM0764,2,2024,IT001
SEM0765,1,2022,IT001
SEM0766,2,2023,IT001
SEM0767,3,2022,SE001
SEM0768,3,2024,IT001
SEM0769,1,2024,IT001
SEM0770,3,2023,SE001
SEM0771,3,2021,IT001
SEM0772,2,2022,IT001
SEM0773,1,2021,CS001
SEM0774,2,2023,SE001
SEM0775,2,2022,SE001
SEM0776,1,2021,SE001
SEM0777,1,2022,IT001
SEM0778,3,2023,SE001
SEM0779,2,2021,CS001
SEM0780,2,2024,SE001
SEM0781,2,2021,IT001
SEM0782,3,2023,CS001
SEM0783,1,2024,CS001
SEM0784,2,2022,IT001
SEM0785,2,2023,CS001
SEM0786,1,2021,IT001
SEM0787,1,2021,CS001
SEM0788,1,2024,IT001
SEM0789,2,2021,CS001
SEM0790,3,2022,CS001
SEM0791,3,2021,CS001
SEM0792,2,2023,CS001
SEM0793,3,2022,IT001
SEM0794,2,2024,IT001
SEM0795,2,2021,SE001
SEM0796,2,2022,IT001
SEM0797,1,2024,CS001
SEM0798,3,2023,IT001
SEM0799,2,2021,SE001
SEM0800,1,2021,SE001
SEM0801,1,2023,CS001
SEM0802,2,2021,IT001
SEM0803,2,2022,IT001
SEM0804,3,2021,SE001
SEM0805,2,2023,SE001
SEM0806,2,2023,IT001
SEM0807,1,2021,SE001
SEM0808,3,2022,IT001
SEM0809,2,2023,CS001
SEM0810,1,2021,CS001
SEM0811,2,2023,IT001
SEM0812,1,2022,SE001
SEM0813,2,2021,SE001
SEM0814,1,2022,SE001
SEM0815,2,2022,CS001
SEM0816,1,2022,SE001
SEM0817,2,2022,IT001
SEM0818,2,2023,CS001
SEM0819,2,2024,CS001
SEM0820,1,2023,SE001
SEM0821,3,2022,IT001
SEM0822,2,2021,SE001
SEM0823,2,2022,IT001
SEM0824,1,2022,IT001
SEM0825,2,2021,CS001
SEM0826,3,2024,IT001
SEM0827,1,2022,IT001
SEM0828,1,2023,SE001
SEM0829,3,2024,IT001
SEM0830,2,2023,SE001
SEM0831,3,2023,IT001
SEM0832,3,2024,SE001
SEM0833,3,2024,CS001
SEM0834,2,2022,IT001
SEM0835,1,2021,SE001
SEM0836,1,2023,CS001
SEM0837,3,2023,CS001
SEM0838,2,2022,CS001
SEM0839,2,2021,IT001
SEM0840,3,2024,IT001
SEM0841,2,2024,CS001
SEM0842,2,2023,CS001
SEM0843,1,2023,SE001
SEM0844,2,2021,IT001
SEM0845,2,2021,CS001
SEM0846,3,2022,CS001
SEM0847,1,2022,IT001
SEM0848,3,2024,SE001
SEM0849,2,2023,IT001
SEM0850,2,2022,CS001
SEM0851,2,2021,CS001
SEM0852,1,2024,CS001
SEM0853,1,2021,CS001
SEM0854,3,2023,CS001
SEM0855,3,2022,CS001
SEM0856,2,2024,IT001
SEM0857,1,2022,CS001
SEM0858,3,2023,SE001
SEM0859,1,2023,SE001
SEM0860,3,2024,IT001
SEM0861,1,2023,CS001
SEM0862,2,2023,SE001
SEM0863,2,2023,SE001
SEM0864,1,2022,CS001
SEM0865,2,2021,SE001
SEM0866,1,2022,CS001
SEM0867,3,2022,IT001
SEM0868,1,2022,IT001
SEM0869,3,2021,SE001
SEM0870,2,2023,IT001
SEM0871,1,2023,SE001
SEM0872,1,2024,SE001
SEM0873,2,2024,SE001
SEM0874,3,2021,CS001
SEM0875,3,2021,IT001
SEM0876,3,2024,SE001
SEM0877,3,2021,IT001
SEM0878,2,2023,CS001
SEM0879,1,2021,CS001
SEM0880,1,2023,CS001
SEM0881,2,2023,SE001
SEM0882,2,2024,CS001
SEM0883,2,2024,IT001
SEM0884,1,2024,SE001
SEM0885,2,2022,SE001
SEM0886,1,2023,CS001
SEM0887,1,2022,IT001
SEM0888,2,2021,CS001
SEM0889,1,2023,CS001
SEM0890,3,2022,SE001
SEM0891,2,2021,CS001
SEM0892,1,2023,SE001
SEM0893,3,2024,CS001
SEM0894,3,2024,SE001
SEM0895,1,2021,IT001
SEM0896,2,2022,SE001
SEM0897,2,2024,SE001
SEM0898,3,2021,CS001
SEM0899,3,2022,SE001
SEM0900,1,2024,SE001
SEM0901,3,2022,IT001
SEM0902,3,2023,SE001
SEM0903,3,2022,SE001
SEM0904,3,2024,SE001
SEM0905,1,2023,CS001
SEM0906,2,2023,SE001
SEM0907,2,2022,CS001
SEM0908,3,2021,IT001
SEM0909,1,2022,CS001
SEM0910,3,2023,CS001
SEM0911,1,2023,CS001
SEM0912,1,2024,CS001
SEM0913,3,2022,SE001
SEM0914,1,2022,SE001
SEM0915,1,2021,IT001
SEM0916,2,2021,CS001
SEM0917,2,2022,IT001
SEM0918,2,2022,SE001
SEM0919,1,2023,CS001
SEM0920,2,2021,IT001
SEM0921,2,2023,SE001
SEM0922,1,2023,IT001
SEM0923,2,2021,CS001
SEM0924,2,2022,CS001
SEM0925,1,2024,CS001
SEM0926,1,2023,IT001
SEM0927,3,2023,IT001
SEM0928,2,2021,SE001
SEM0929,1,2022,IT001
SEM0930,1,2023,CS001
