result_ID,student_ID,unit_ID,marks,grade
RES0076,SCT211-0013/2021,UNIT004,76.37,A
RES0077,SCT211-0013/2021,UNIT005,73.79,A
RES0078,SCT211-0013/2021,UNIT006,44.73,D
RES0079,SCT211-0014/2021,UNIT001,48.41,D
RES0080,SCT211-0014/2021,UNIT002,96.72,A
RES0081,SCT211-0014/2021,UNIT003,57.3,C
RES0082,SCT211-0014/2021,UNIT004,80.96,A
RES0083,SCT211-0014/2021,UNIT005,57.54,C
RES0084,SCT211-0014/2021,UNIT006,81.58,A
RES0085,SCT211-0015/2021,UNIT001,69.07,B
RES0086,SCT211-0015/2021,UNIT002,84.33,A
RES0087,SCT211-0015/2021,UNIT003,75.93,A
RES0088,SCT211-0015/2021,UNIT004,69.92,B
RES0089,SCT211-0015/2021,UNIT005,97.2,A
RES0090,SCT211-0015/2021,UNIT006,51.56,C
RES0091,SCT211-0016/2021,UNIT001,70.68,A
RES0092,SCT211-0016/2021,UNIT002,72.26,A
RES0093,SCT211-0016/2021,UNIT003,64.31,B
RES0094,SCT211-0016/2021,UNIT004,54.46,C
RES0095,SCT211-0016/2021,UNIT005,87.56,A
RES0096,SCT211-0016/2021,UNIT006,73.01,A
RES0097,SCT211-0017/2021,UNIT001,85.53,A
RES0098,SCT211-0017/2021,UNIT002,48.63,D
RES0099,SCT211-0017/2021,UNIT003,96.59,A
RES0100,SCT211-0017/2021,UNIT004,87.86,A
RES0101,SCT211-0017/2021,UNIT005,73.0,A
RES0102,SCT211-0017/2021,UNIT006,71.81,A
RES0103,SCT211-0018/2021,UNIT001,87.59,A
RES0104,SCT211-0018/2021,UNIT002,60.16,B
RES0105,SCT211-0018/2021,UNIT003,45.47,D
RES0106,SCT211-0018/2021,UNIT004,78.89,A
RES0107,SCT211-0018/2021,UNIT005,54.64,C
RES0108,SCT211-0018/2021,UNIT006,64.42,B
RES0109,SCT211-0019/2021,UNIT001,55.69,C
RES0110,SCT211-0019/2021,UNIT002,83.85,A
RES0111,SCT211-0019/2021,UNIT003,60.24,B
RES0112,SCT211-0019/2021,UNIT004,96.94,A
RES0113,SCT211-0019/2021,UNIT005,73.78,A
RES0114,SCT211-0019/2021,UNIT006,67.38,B
RES0115,SCT211-0020/2021,UNIT001,62.63,B
RES0116,SCT211-0020/2021,UNIT002,90.47,A
RES0117,SCT211-0020/2021,UNIT003,69.42,B
RES0118,SCT211-0020/2021,UNIT004,86.47,A
RES0119,SCT211-0020/2021,UNIT005,83.98,A
RES0120,SCT211-0020/2021,UNIT006,76.63,A
RES0121,SCT211-0021/2021,UNIT001,49.93,D
RES0122,SCT211-0021/2021,UNIT002,64.26,B
RES0123,SCT211-0021/2021,UNIT003,89.57,A
RES0124,SCT211-0021/2021,UNIT004,77.99,A
RES0125,SCT211-0021/2021,UNIT005,89.19,A
RES0126,SCT211-0021/2021,UNIT006,93.45,A
RES0127,SCT211-0022/2021,UNIT001,76.85,A
RES0128,SCT211-0022/2021,UNIT002,83.97,A
RES0129,SCT211-0022/2021,UNIT003,83.82,A
RES0130,SCT211-0022/2021,UNIT004,95.67,A
RES0131,SCT211-0022/2021,UNIT005,91.34,A
RES0132,SCT211-0022/2021,UNIT006,95.01,A
RES0133,SCT211-0023/2021,UNIT001,71.47,A
RES0134,SCT211-0023/2021,UNIT002,98.76,A
RES0135,SCT211-0023/2021,UNIT003,46.52,D
RES0136,SCT211-0023/2021,UNIT004,49.21,D
RES0137,SCT211-0023/2021,UNIT005,74.58,A
RES0138,SCT211-0023/2021,UNIT006,56.32,C
RES0139,SCT211-0024/2021,UNIT001,54.34,C
RES0140,SCT211-0024/2021,UNIT002,69.23,B
RES0141,SCT211-0024/2021,UNIT003,85.94,A
RES0142,SCT211-0024/2021,UNIT004,85.1,A
RES0143,SCT211-0024/2021,UNIT005,56.98,C
RES0144,SCT211-0024/2021,UNIT006,86.23,A
RES0145,SCT211-0025/2021,UNIT001,90.8,A
RES0146,SCT211-0025/2021,UNIT002,63.53,B
RES0147,SCT211-0025/2021,UNIT003,48.59,D
RES0148,SCT211-0025/2021,UNIT004,50.66,C
RES0149,SCT211-0025/2021,UNIT005,61.64,B
RES0150,SCT211-0025/2021,UNIT006,81.0,A
RES0151,SCT211-0026/2021,UNIT001,76.66,A
RES0152,SCT211-0026/2021,UNIT002,41.04,D
RES0153,SCT211-0026/2021,UNIT003,77.42,A
RES0154,SCT211-0026/2021,UNIT004,41.22,D
RES0155,SCT211-0026/2021,UNIT005,63.71,B
RES0156,SCT211-0026/2021,UNIT006,72.66,A
RES0157,SCT211-0027/2021,UNIT001,59.88,C
RES0158,SCT211-0027/2021,UNIT002,92.07,A
RES0159,SCT211-0027/2021,UNIT003,59.8,C
RES0160,SCT211-0027/2021,UNIT004,45.71,D
RES0161,SCT211-0027/2021,UNIT005,70.79,A
RES0162,SCT211-0027/2021,UNIT006,92.75,A
RES0163,SCT211-0028/2021,UNIT001,63.67,B
RES0164,SCT211-0028/2021,UNIT002,48.02,D
RES0165,SCT211-0028/2021,UNIT003,48.76,D
RES0166,SCT211-0028/2021,UNIT004,58.39,C
RES0167,SCT211-0028/2021,UNIT005,58.9,C
RES0168,SCT211-0028/2021,UNIT006,46.37,D
RES0169,SCT211-0029/2021,UNIT001,42.2,D
RES0170,SCT211-0029/2021,UNIT002,99.92,A
RES0171,SCT211-0029/2021,UNIT003,84.28,A
RES0172,SCT211-0029/2021,UNIT004,61.44,B
RES0173,SCT211-0029/2021,UNIT005,62.71,B
RES0174,SCT211-0029/2021,UNIT006,88.27,A
RES0175,SCT211-0030/2021,UNIT001,86.09,A
RES0176,SCT211-0030/2021,UNIT002,68.39,B
RES0177,SCT211-0030/2021,UNIT003,79.48,A
RES0178,SCT211-0030/2021,UNIT004,43.71,D
RES0179,SCT211-0030/2021,UNIT005,96.96,A
RES0180,SCT211-0030/2021,UNIT006,48.45,D
RES0181,SCT211-0031/2021,UNIT001,54.76,C
RES0182,SCT211-0031/2021,UNIT002,78.72,A
RES0183,SCT211-0031/2021,UNIT003,94.96,A
RES0184,SCT211-0031/2021,UNIT004,58.03,C
RES0185,SCT211-0031/2021,UNIT005,91.42,A
RES0186,SCT211-0031/2021,UNIT006,59.89,C
RES0187,SCT211-0032/2021,UNIT001,81.34,A
RES0188,SCT211-0032/2021,UNIT002,61.71,B
RES0189,SCT211-0032/2021,UNIT003,41.72,D
RES0190,SCT211-0032/2021,UNIT004,58.86,C
RES0191,SCT211-0032/2021,UNIT005,85.38,A
RES0192,SCT211-0032/2021,UNIT006,95.76,A
RES0193,SCT211-0033/2021,UNIT001,49.37,D
RES0194,SCT211-0033/2021,UNIT002,84.43,A
RES0195,SCT211-0033/2021,UNIT003,51.81,C
RES0196,SCT211-0033/2021,UNIT004,60.8,B
RES0197,SCT211-0033/2021,UNIT005,50.53,C
RES0198,SCT211-0033/2021,UNIT006,59.49,C
RES0199,SCT211-0034/2021,UNIT001,42.62,D
RES0200,SCT211-0034/2021,UNIT002,46.33,D
RES0201,SCT211-0034/2021,UNIT003,72.48,A
RES0202,SCT211-0034/2021,UNIT004,63.82,B
RES0203,SCT211-0034/2021,UNIT005,48.59,D
RES0204,SCT211-0034/2021,UNIT006,43.93,D
RES0205,SCT211-0035/2021,UNIT001,79.37,A
RES0206,SCT211-0035/2021,UNIT002,84.22,A
RES0207,SCT211-0035/2021,UNIT003,80.77,A
RES0208,SCT211-0035/2021,UNIT004,74.01,A
RES0209,SCT211-0035/2021,UNIT005,63.15,B
RES0210,SCT211-0035/2021,UNIT006,68.57,B
RES0211,SCT211-0036/2021,UNIT001,87.9,A
RES0212,SCT211-0036/2021,UNIT002,55.49,C
RES0213,SCT211-0036/2021,UNIT003,91.46,A
RES0214,SCT211-0036/2021,UNIT004,47.23,D
RES0215,SCT211-0036/2021,UNIT005,77.65,A
RES0216,SCT211-0036/2021,UNIT006,71.77,A
RES0217,SCT211-0037/2021,UNIT001,62.05,B
RES0218,SCT211-0037/2021,UNIT002,91.98,A
RES0219,SCT211-0037/2021,UNIT003,62.96,B
RES0220,SCT211-0037/2021,UNIT004,95.46,A
RES0221,SCT211-0037/2021,UNIT005,90.73,A
RES0222,SCT211-0037/2021,UNIT006,56.4,C
RES0223,SCT211-0038/2021,UNIT001,85.59,A
RES0224,SCT211-0038/2021,UNIT002,48.57,D
RES0225,SCT211-0038/2021,UNIT003,97.87,A
RES0226,SCT211-0038/2021,UNIT004,66.03,B
RES0227,SCT211-0038/2021,UNIT005,60.47,B
RES0228,SCT211-0038/2021,UNIT006,87.81,A
RES0229,SCT211-0039/2021,UNIT001,75.26,A
RES0230,SCT211-0039/2021,UNIT002,59.33,C
RES0231,SCT211-0039/2021,UNIT003,50.2,C
RES0232,SCT211-0039/2021,UNIT004,90.88,A
RES0233,SCT211-0039/2021,UNIT005,46.55,D
RES0234,SCT211-0039/2021,UNIT006,65.06,B
RES0235,SCT211-0040/2021,UNIT001,41.75,D
RES0236,SCT211-0040/2021,UNIT002,97.94,A
RES0237,SCT211-0040/2021,UNIT003,68.12,B
RES0238,SCT211-0040/2021,UNIT004,58.84,C
RES0239,SCT211-0040/2021,UNIT005,52.89,C
RES0240,SCT211-0040/2021,UNIT006,86.42,A
RES0241,SCT211-0041/2021,UNIT001,81.13,A
RES0242,SCT211-0041/2021,UNIT002,40.12,D
RES0243,SCT211-0041/2021,UNIT003,52.06,C
RES0244,SCT211-0041/2021,UNIT004,48.65,D
RES0245,SCT211-0041/2021,UNIT005,94.89,A
RES0246,SCT211-0041/2021,UNIT006,88.42,A
RES0247,SCT211-0042/2021,UNIT001,48.99,D
RES0248,SCT211-0042/2021,UNIT002,65.6,B
RES0249,SCT211-0042/2021,UNIT003,69.59,B
RES0250,SCT211-0042/2021,UNIT004,94.87,A
RES0251,SCT211-0042/2021,UNIT005,61.58,B
RES0252,SCT211-0042/2021,UNIT006,65.24,B
RES0253,SCT211-0043/2021,UNIT001,68.65,B
RES0254,SCT211-0043/2021,UNIT002,73.85,A
RES0255,SCT211-0043/2021,UNIT003,55.88,C
RES0256,SCT211-0043/2021,UNIT004,72.83,A
RES0257,SCT211-0043/2021,UNIT005,94.72,A
RES0258,SCT211-0043/2021,UNIT006,76.78,A
RES0259,SCT211-0044/2021,UNIT001,71.81,A
RES0260,SCT211-0044/2021,UNIT002,62.34,B
RES0261,SCT211-0044/2021,UNIT003,44.42,D
RES0262,SCT211-0044/2021,UNIT004,50.42,C
RES0263,SCT211-0044/2021,UNIT005,72.43,A
RES0264,SCT211-0044/2021,UNIT006,79.88,A
RES0265,SCT211-0045/2021,UNIT001,51.01,C
RES0266,SCT211-0045/2021,UNIT002,46.44,D
RES0267,SCT211-0045/2021,UNIT003,54.67,C
RES0268,SCT211-0045/2021,UNIT004,99.47,A
RES0269,SCT211-0045/2021,UNIT005,86.0,A
RES0270,SCT211-0045/2021,UNIT006,88.9,A
RES0271,SCT211-0046/2021,UNIT001,40.82,D
RES0272,SCT211-0046/2021,UNIT002,89.69,A
RES0273,SCT211-0046/2021,UNIT003,42.07,D
RES0274,SCT211-0046/2021,UNIT004,82.02,A
RES0275,SCT211-0046/2021,UNIT005,84.84,A
RES0276,SCT211-0046/2021,UNIT006,57.77,C
RES0277,SCT211-0047/2021,UNIT001,46.67,D
RES0278,SCT211-0047/2021,UNIT002,78.12,A
RES0279,SCT211-0047/2021,UNIT003,91.84,A
RES0280,SCT211-0047/2021,UNIT004,52.03,C
RES0281,SCT211-0047/2021,UNIT005,59.81,C
RES0282,SCT211-0047/2021,UNIT006,46.9,D
RES0283,SCT211-0048/2021,UNIT001,40.97,D
RES0284,SCT211-0048/2021,UNIT002,60.82,B
RES0285,SCT211-0048/2021,UNIT003,88.89,A
RES0286,SCT211-0048/2021,UNIT004,99.58,A
RES0287,SCT211-0048/2021,UNIT005,75.17,A
RES0288,SCT211-0048/2021,UNIT006,99.6,A
RES0289,SCT211-0049/2021,UNIT001,56.23,C
RES0290,SCT211-0049/2021,UNIT002,59.64,C
RES0291,SCT211-0049/2021,UNIT003,82.06,A
RES0292,SCT211-0049/2021,UNIT004,60.13,B
RES0293,SCT211-0049/2021,UNIT005,66.07,B
RES0294,SCT211-0049/2021,UNIT006,99.56,A
RES0295,SCT211-0050/2021,UNIT001,73.04,A
RES0296,SCT211-0050/2021,UNIT002,78.77,A
RES0297,SCT211-0050/2021,UNIT003,91.43,A
RES0298,SCT211-0050/2021,UNIT004,75.93,A
RES0299,SCT211-0050/2021,UNIT005,94.0,A
RES0300,SCT211-0050/2021,UNIT006,76.72,A
RES0301,SCT211-0051/2021,UNIT001,87.51,A
RES0302,SCT211-0051/2021,UNIT002,61.52,B
RES0303,SCT211-0051/2021,UNIT003,63.4,B
RES0304,SCT211-0051/2021,UNIT004,85.39,A
RES0305,SCT211-0051/2021,UNIT005,87.38,A
RES0306,SCT211-0051/2021,UNIT006,77.59,A
RES0307,SCT211-0052/2021,UNIT001,52.79,C
RES0308,SCT211-0052/2021,UNIT002,57.28,C
RES0309,SCT211-0052/2021,UNIT003,83.88,A
RES0310,SCT211-0052/2021,UNIT004,73.95,A
RES0311,SCT211-0052/2021,UNIT005,95.09,A
RES0312,SCT211-0052/2021,UNIT006,95.6,A
RES0313,SCT211-0053/2021,UNIT001,67.5,B
RES0314,SCT211-0053/2021,UNIT002,44.62,D
RES0315,SCT211-0053/2021,UNIT003,66.86,B
RES0316,SCT211-0053/2021,UNIT004,40.12,D
RES0317,SCT211-0053/2021,UNIT005,94.33,A
RES0318,SCT211-0053/2021,UNIT006,62.68,B
RES0319,SCT211-0054/2021,UNIT001,54.76,C
RES0320,SCT211-0054/2021,UNIT002,67.5,B
RES0321,SCT211-0054/2021,UNIT003,44.97,D
RES0322,SCT211-0054/2021,UNIT004,93.05,A
RES0323,SCT211-0054/2021,UNIT005,72.82,A
RES0324,SCT211-0054/2021,UNIT006,49.93,D
RES0325,SCT211-0055/2021,UNIT001,79.63,A
RES0326,SCT211-0055/2021,UNIT002,90.44,A
RES0327,SCT211-0055/2021,UNIT003,58.55,C
RES0328,SCT211-0055/2021,UNIT004,79.38,A
RES0329,SCT211-0055/2021,UNIT005,45.49,D
RES0330,SCT211-0055/2021,UNIT006,79.77,A
RES0331,SCT211-0056/2021,UNIT001,40.66,D
RES0332,SCT211-0056/2021,UNIT002,92.27,A
RES0333,SCT211-0056/2021,UNIT003,49.91,D
RES0334,SCT211-0056/2021,UNIT004,97.81,A
RES0335,SCT211-0056/2021,UNIT005,61.62,B
RES0336,SCT211-0056/2021,UNIT006,45.72,D
RES0337,SCT211-0057/2021,UNIT001,55.47,C
RES0338,SCT211-0057/2021,UNIT002,89.94,A
RES0339,SCT211-0057/2021,UNIT003,95.17,A
RES0340,SCT211-0057/2021,UNIT004,97.0,A
RES0341,SCT211-0057/2021,UNIT005,45.9,D
RES0342,SCT211-0057/2021,UNIT006,89.65,A
RES0343,SCT211-0058/2021,UNIT001,56.15,C
RES0344,SCT211-0058/2021,UNIT002,42.67,D
RES0345,SCT211-0058/2021,UNIT003,73.2,A
RES0346,SCT211-0058/2021,UNIT004,70.94,A
RES0347,SCT211-0058/2021,UNIT005,88.21,A
RES0348,SCT211-0058/2021,UNIT006,87.35,A
RES0349,SCT211-0059/2021,UNIT001,40.45,D
RES0350,SCT211-0059/2021,UNIT002,63.51,B
RES0351,SCT211-0059/2021,UNIT003,40.09,D
RES0352,SCT211-0059/2021,UNIT004,43.29,D
RES0353,SCT211-0059/2021,UNIT005,65.92,B
RES0354,SCT211-0059/2021,UNIT006,63.17,B
RES0355,SCT211-0060/2021,UNIT001,56.78,C
RES0356,SCT211-0060/2021,UNIT002,99.15,A
RES0357,SCT211-0060/2021,UNIT003,93.87,A
RES0358,SCT211-0060/2021,UNIT004,96.45,A
RES0359,SCT211-0060/2021,UNIT005,95.01,A
RES0360,SCT211-0060/2021,UNIT006,93.98,A
RES0361,SCT211-0061/2021,UNIT001,64.32,B
RES0362,SCT211-0061/2021,UNIT002,51.31,C
RES0363,SCT211-0061/2021,UNIT003,79.1,A
RES0364,SCT211-0061/2021,UNIT004,56.37,C
RES0365,SCT211-0061/2021,UNIT005,58.12,C
RES0366,SCT211-0061/2021,UNIT006,58.2,C
RES0367,SCT211-0062/2021,UNIT001,60.89,B
RES0368,SCT211-0062/2021,UNIT002,69.94,B
RES0369,SCT211-0062/2021,UNIT003,47.17,D
RES0370,SCT211-0062/2021,UNIT004,93.13,A
RES0371,SCT211-0062/2021,UNIT005,40.69,D
RES0372,SCT211-0062/2021,UNIT006,88.19,A
RES0373,SCT211-0063/2021,UNIT001,42.83,D
RES0374,SCT211-0063/2021,UNIT002,62.17,B
RES0375,SCT211-0063/2021,UNIT003,68.88,B
RES0376,SCT211-0063/2021,UNIT004,81.68,A
RES0377,SCT211-0063/2021,UNIT005,57.39,C
RES0378,SCT211-0063/2021,UNIT006,48.25,D
RES0379,SCT211-0064/2021,UNIT001,54.93,C
RES0380,SCT211-0064/2021,UNIT002,81.88,A
RES0381,SCT211-0064/2021,UNIT003,75.44,A
RES0382,SCT211-0064/2021,UNIT004,50.45,C
RES0383,SCT211-0064/2021,UNIT005,54.32,C
RES0384,SCT211-0064/2021,UNIT006,80.35,A
RES0385,SCT211-0065/2021,UNIT001,73.15,A
RES0386,SCT211-0065/2021,UNIT002,96.22,A
RES0387,SCT211-0065/2021,UNIT003,57.99,C
RES0388,SCT211-0065/2021,UNIT004,76.78,A
RES0389,SCT211-0065/2021,UNIT005,80.12,A
RES0390,SCT211-0065/2021,UNIT006,42.03,D
RES0391,SCT211-0066/2021,UNIT001,49.64,D
RES0392,SCT211-0066/2021,UNIT002,47.06,D
RES0393,SCT211-0066/2021,UNIT003,96.27,A
RES0394,SCT211-0066/2021,UNIT004,52.98,C
RES0395,SCT211-0066/2021,UNIT005,55.0,C
RES0396,SCT211-0066/2021,UNIT006,79.96,A
RES0397,SCT211-0067/2021,UNIT001,67.95,B
RES0398,SCT211-0067/2021,UNIT002,54.08,C
RES0399,SCT211-0067/2021,UNIT003,57.62,C
RES0400,SCT211-0067/2021,UNIT004,99.24,A
RES0401,SCT211-0067/2021,UNIT005,53.64,C
RES0402,SCT211-0067/2021,UNIT006,53.22,C
RES0403,SCT211-0068/2021,UNIT001,70.02,A
RES0404,SCT211-0068/2021,UNIT002,86.63,A
RES0405,SCT211-0068/2021,UNIT003,82.88,A
RES0406,SCT211-0068/2021,UNIT004,84.1,A
RES0407,SCT211-0068/2021,UNIT005,54.61,C
RES0408,SCT211-0068/2021,UNIT006,69.06,B
RES0409,SCT211-0069/2021,UNIT001,68.16,B
RES0410,SCT211-0069/2021,UNIT002,86.72,A
RES0411,SCT211-0069/2021,UNIT003,52.19,C
RES0412,SCT211-0069/2021,UNIT004,46.74,D
RES0413,SCT211-0069/2021,UNIT005,43.45,D
RES0414,SCT211-0069/2021,UNIT006,80.54,A
RES0415,SCT211-0070/2021,UNIT001,48.55,D
RES0416,SCT211-0070/2021,UNIT002,76.93,A
RES0417,SCT211-0070/2021,UNIT003,97.4,A
RES0418,SCT211-0070/2021,UNIT004,48.86,D
RES0419,SCT211-0070/2021,UNIT005,75.25,A
RES0420,SCT211-0070/2021,UNIT006,92.71,A
RES0421,SCT211-0071/2021,UNIT001,83.14,A
RES0422,SCT211-0071/2021,UNIT002,90.06,A
RES0423,SCT211-0071/2021,UNIT003,93.25,A
RES0424,SCT211-0071/2021,UNIT004,46.13,D
RES0425,SCT211-0071/2021,UNIT005,81.76,A
RES0426,SCT211-0071/2021,UNIT006,63.28,B
RES0427,SCT211-0072/2021,UNIT001,77.35,A
RES0428,SCT211-0072/2021,UNIT002,40.67,D
RES0429,SCT211-0072/2021,UNIT003,76.52,A
RES0430,SCT211-0072/2021,UNIT004,78.71,A
RES0431,SCT211-0072/2021,UNIT005,53.29,C
RES0432,SCT211-0072/2021,UNIT006,72.37,A
RES0433,SCT211-0073/2021,UNIT001,41.73,D
RES0434,SCT211-0073/2021,UNIT002,86.35,A
RES0435,SCT211-0073/2021,UNIT003,72.65,A
RES0436,SCT211-0073/2021,UNIT004,50.98,C
RES0437,SCT211-0073/2021,UNIT005,64.47,B
RES0438,SCT211-0073/2021,UNIT006,49.57,D
RES0439,SCT211-0074/2021,UNIT001,77.05,A
RES0440,SCT211-0074/2021,UNIT002,87.98,A
RES0441,SCT211-0074/2021,UNIT003,53.86,C
RES0442,SCT211-0074/2021,UNIT004,52.31,C
RES0443,SCT211-0074/2021,UNIT005,51.17,C
RES0444,SCT211-0074/2021,UNIT006,69.14,B
RES0445,SCT211-0075/2021,UNIT001,81.06,A
RES0446,SCT211-0075/2021,UNIT002,55.12,C
RES0447,SCT211-0075/2021,UNIT003,64.82,B
RES0448,SCT211-0075/2021,UNIT004,96.61,A
RES0449,SCT211-0075/2021,UNIT005,78.39,A
RES0450,SCT211-0075/2021,UNIT006,51.01,C
RES0451,SCT211-0076/2021,UNIT001,97.42,A
RES0452,SCT211-0076/2021,UNIT002,86.91,A
RES0453,SCT211-0076/2021,UNIT003,62.39,B
RES0454,SCT211-0076/2021,UNIT004,99.06,A
RES0455,SCT211-0076/2021,UNIT005,76.87,A
RES0456,SCT211-0076/2021,UNIT006,71.9,A
RES0457,SCT211-0077/2021,UNIT001,40.68,D
RES0458,SCT211-0077/2021,UNIT002,57.46,C
RES0459,SCT211-0077/2021,UNIT003,67.6,B
RES0460,SCT211-0077/2021,UNIT004,67.37,B
RES0461,SCT211-0077/2021,UNIT005,67.22,B
RES0462,SCT211-0077/2021,UNIT006,57.99,C
RES0463,SCT211-0078/2021,UNIT001,64.67,B
RES0464,SCT211-0078/2021,UNIT002,93.03,A
RES0465,SCT211-0078/2021,UNIT003,52.09,C
RES0466,SCT211-0078/2021,UNIT004,47.31,D
RES0467,SCT211-0078/2021,UNIT005,48.86,D
RES0468,SCT211-0078/2021,UNIT006,89.37,A
RES0469,SCT211-0079/2021,UNIT001,46.37,D
RES0470,SCT211-0079/2021,UNIT002,91.57,A
RES0471,SCT211-0079/2021,UNIT003,71.07,A
RES0472,SCT211-0079/2021,UNIT004,79.71,A
RES0473,SCT211-0079/2021,UNIT005,41.5,D
RES0474,SCT211-0079/2021,UNIT006,96.29,A
RES0475,SCT211-0080/2021,UNIT001,68.15,B
RES0476,SCT211-0080/2021,UNIT002,66.63,B
RES0477,SCT211-0080/2021,UNIT003,47.99,D
RES0478,SCT211-0080/2021,UNIT004,87.07,A
RES0479,SCT211-0080/2021,UNIT005,42.23,D
RES0480,SCT211-0080/2021,UNIT006,91.55,A
RES0481,SCT211-0081/2021,UNIT001,93.1,A
RES0482,SCT211-0081/2021,UNIT002,85.21,A
RES0483,SCT211-0081/2021,UNIT003,72.28,A
RES0484,SCT211-0081/2021,UNIT004,93.35,A
RES0485,SCT211-0081/2021,UNIT005,51.73,C
RES0486,SCT211-0081/2021,UNIT006,68.06,B
RES0487,SCT211-0082/2021,UNIT001,90.61,A
RES0488,SCT211-0082/2021,UNIT002,97.17,A
RES0489,SCT211-0082/2021,UNIT003,69.07,B
RES0490,SCT211-0082/2021,UNIT004,75.57,A
RES0491,SCT211-0082/2021,UNIT005,67.24,B
RES0492,SCT211-0082/2021,UNIT006,84.57,A
RES0493,SCT211-0083/2021,UNIT001,87.03,A
RES0494,SCT211-0083/2021,UNIT002,84.05,A
RES0495,SCT211-0083/2021,UNIT003,54.08,C
RES0496,SCT211-0083/2021,UNIT004,80.62,A
RES0497,SCT211-0083/2021,UNIT005,56.68,C
RES0498,SCT211-0083/2021,UNIT006,54.18,C
